subject_id,sequence,frame,pose_family,Tx_mm,Ty_mm,Tz_mm,Tnorm_mm,valid_depth_points,Official_A_median,Corrected_A_median,Official_A_mean,Corrected_A_mean,Official_A_P90,Corrected_A_P90,Official_A_P95,Corrected_A_P95,Official_B_median,Corrected_B_median,Official_B_mean,Corrected_B_mean,Official_B_P90,Corrected_B_P90,Official_B_P95,Corrected_B_P95,Official_B_coverage,Corrected_B_coverage,runtime_sam_ms,runtime_txyz_ms,runtime_total_ms,outcome_class,fallback_reason
p000931,a000017,25,a000017,11.21616220934983,-30.917309759019847,-75.77839428186716,82.60779247371127,21955,73.56257253081523,25.566001759277974,83.03848976467398,37.21767852635704,173.03112407158486,101.34894653740237,193.59916537306285,114.59415467554402,57.035204199166046,23.81974676896573,64.89872481076674,31.29338310363524,140.30441726981493,72.19146005468437,167.44888367096675,96.759459647944,0.5640859825655087,0.6502409960595635,352.73615503683686,128.99095995817333,481.7271149950102,USEFUL_CORRECTION,
p000912,p000912_a001444,12,,15.299526603480551,-58.906738392990654,-27.696597821623925,66.86688921494428,17692,61.49372340444107,28.957007752985618,66.18316096334141,37.83534722909996,116.84565415517926,86.32971339086419,122.28862923073206,93.95280960557443,38.01800335866294,20.497314853546754,45.46243651684801,27.884588157429047,99.67209979077862,63.63300152789794,111.95448439652316,76.70941188043736,0.6358178745480271,0.6995362364408112,350.4326539696194,124.72784402780235,475.16049799742177,USEFUL_CORRECTION,
p000912,p000912_a001444,24,,15.242879498082951,-55.77086111339824,-27.84561235463201,64.17252100492445,17672,58.91372282319509,28.541032150725524,63.34493099663033,36.790257069162244,111.62688556373162,82.27476881617825,117.05158701422441,89.0668449476393,36.3156583026354,19.96374440905084,43.345534354854934,26.974918551835803,95.49530398133757,61.08906853655549,107.57675280504259,73.06107420665639,0.6418674787274667,0.7019005747745454,358.16263797460124,118.067767994944,476.23040596954525,USEFUL_CORRECTION,
p000912,p000912_a001444,36,,16.262195372807724,-63.993889377362194,-27.282237934074693,71.44226608021965,17680,66.00485383729286,30.990055494473324,69.58695735753594,39.623930003711415,121.57611179058998,90.59864777998965,127.37694239947962,100.0082935884669,40.37509298670212,22.01409123637996,47.8451742117542,29.463884126472568,102.33648222684906,67.42667752434635,114.82945256961338,81.42313698246028,0.6262937117766975,0.6895973812137368,347.5049830158241,158.33281999221072,505.8378030080348,USEFUL_CORRECTION,
p000843,p000843_a000141,19,,19.77889863309268,-181.29811023463384,-243.11809428804315,303.91876772591297,14811,308.00298108324733,308.00298108324733,302.89856051959435,302.89856051959435,410.39582356066376,410.39582356066376,446.0027124221749,446.0027124221749,257.80656087105297,257.80656087105297,246.22992353817648,246.22992353817648,376.9399165479793,376.9399165479793,420.40578927052843,420.40578927052843,0.3004919533216383,0.3004919533216383,364.6711999899708,124.03815699508414,488.7093569850549,FALLBACK,CORRECTION_OUT_OF_RANGE
p000843,p000843_a000141,38,,18.547120363427933,1.0623292409301932,-185.48703865512542,186.41503621285386,8950,153.43200966352677,153.43200966352677,142.62774491225147,142.62774491225147,192.2666038067331,192.2666038067331,195.18406812790693,195.18406812790693,100.6688600365808,100.6688600365808,103.82817364616554,103.82817364616554,190.55126053145474,190.55126053145474,197.20992219160155,197.20992219160155,0.55422030114473,0.55422030114473,345.32223601127043,88.50082504795864,433.8230610592291,FALLBACK,CORRECTION_OUT_OF_RANGE
p000843,p000843_a000141,57,,-3.399171451168862,-55.50825926027025,-211.64232860388321,218.8268641404293,9925,202.2852122719883,202.2852122719883,195.71361895908564,195.71361895908564,286.41207314026735,286.41207314026735,313.73358240691493,313.73358240691493,139.0705759224874,139.0705759224874,139.2463246456037,139.2463246456037,231.25936122468624,231.25936122468624,242.84436513258433,242.84436513258433,0.3954207605762867,0.3954207605762867,350.5603719968349,99.84519798308611,450.405569979921,FALLBACK,CORRECTION_OUT_OF_RANGE
p000844,p000844_a005793,8,,34.30843129938799,-51.84225153175959,-134.69171486863368,148.34603316691812,14747,124.29804053334831,24.710829464039097,116.95702847021971,30.195645972706238,165.89294381236957,65.48251312117154,171.23592936161685,80.05358723154386,55.590233520618106,30.613817668594987,67.90914666522328,33.61230137915686,144.55453019691876,65.76737036012676,160.93281777231795,75.55631627841242,0.562653687225898,0.7235531219104114,358.99660701397806,109.8767039948143,468.87331100879237,LARGE_CORRECTION,
p000844,p000844_a005793,15,,34.644470950044486,-59.67789372943,-138.9936580763091,155.18030594383922,14583,131.66068969107027,24.550258024493978,123.3842098077558,32.171887935791396,173.6980993546994,75.48682218588517,181.08341472401034,90.82298458058649,55.03279373620782,32.83527481183506,70.36161860111434,36.53168483907319,152.53337376899935,70.60087601672745,165.47053350292273,82.89201680391689,0.5548485076687502,0.7156663403368727,357.6503859949298,156.26938903005794,513.9197750249878,LARGE_CORRECTION,
p000844,p000844_a005793,22,,34.4711801121792,-59.92415103028037,-145.24901216131917,160.86156056953195,14615,133.37555789051822,23.94122311691123,125.89493454986582,31.00157892283512,176.00815283013839,73.33406854912933,187.95458316222255,87.64660732814212,60.28546521714492,32.55490085958068,74.28748675537459,36.039283850991424,156.76318091788374,71.08114067527772,169.76607766942016,81.64705943181761,0.5423799424329647,0.7188809776296521,349.68270699027926,108.42964000767097,458.1123469979502,LARGE_CORRECTION,
