subject,sequence,frame,frame_id,camera,role,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm,aligned_mean_mm,aligned_p90_mm,aligned_p95_mm,aligned_coverage_50mm,aligned_translation_mm
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K0,K0_DIAGNOSTIC,O4,7.330727169833393,11.105272969840616,22.9018736145183,37.21546310792153,0.9654,7.127479867429969,11.03589323257538,22.52670547916734,36.91501303066463,0.9658,1.8389053983904176
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K1,HELD_OUT,O0,44.22409106732262,47.268293906110955,84.2894132649317,93.4469574275845,0.5572,9.319985040699478,13.868253328822638,27.368802679111266,31.975174357611532,0.9924,79.73634569394896
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K1,HELD_OUT,O1,6.647426008120077,11.025054891662473,20.164695726999515,29.414963702840108,0.9936,6.886513546520945,10.94302354258509,19.465132843527513,28.157013191724182,0.9944,2.8699238457487968
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K1,HELD_OUT,O2,7.3554742738226855,10.903859177800191,18.37436265528178,24.441864426717938,0.9966,5.8333450811902665,9.709632332944473,16.02845302321394,23.220822871754432,0.992,6.934938689237929
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K1,HELD_OUT,O3,7.450700899182142,11.258886028866357,19.296985384180093,27.526154797247184,0.9954,7.3203758995181945,11.18219873462405,19.57297795309611,27.42225446133259,0.9956,2.242056470365816
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K1,HELD_OUT,O4,7.480118755527732,10.873348004195716,17.844090844380233,23.528033031870606,0.9946,5.861120958456022,9.717645376153683,16.20184138740071,23.56984742561996,0.9922,7.475832548308983
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K2,HELD_OUT,O0,42.025168430699864,56.28398261236005,90.38054640187536,101.06761589338615,0.5844,15.01923300714472,28.082184255268757,35.58804903293382,42.80990422541884,0.9614,88.84208643438322
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K2,HELD_OUT,O1,12.931010194219649,26.519786639951477,33.57015590317347,41.77189796793381,0.9626,9.890957284227026,24.0990235881416,29.7944257369136,46.760114841479265,0.9556,14.100037182597612
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K2,HELD_OUT,O2,11.08886483708653,24.217979091275822,30.960516924756323,41.24767430243962,0.9646,8.98762874056914,22.962815069800122,29.121762241523953,45.640605469931025,0.9582,8.255751778449296
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K2,HELD_OUT,O3,11.427955758326572,25.548874912968238,31.898361857476715,42.28374728794863,0.961,9.983295883242732,24.271790221301266,29.945305046498564,45.63410644042209,0.9578,10.908907607298936
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K2,HELD_OUT,O4,9.94564611032836,23.599098780588307,30.412150903228696,42.80852126734609,0.9626,8.784739849803984,22.955925213066603,29.104777489780478,46.062735831301325,0.9586,6.07224028952402
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K3,HELD_OUT,O0,60.92333265480163,80.51907946153464,105.71981168907995,127.61361914353405,0.3966,11.137460615925225,37.856639675668276,33.18567110028632,74.71228789101306,0.928,91.41177619584712
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K3,HELD_OUT,O1,11.462372703083805,38.15706307692561,32.40338156654982,75.12982896336923,0.9312,8.971582616508023,35.731411300318506,31.363801519702008,73.1371393675585,0.9352,15.043140232476993
Sub04,Date03_Sub04_yogaball_play,t0010.000,Sub04/Date03_Sub04_yogaball_play/t0010.000,K3,HELD_OUT,O2,7.318449196351418,32.865142374090155,22.974346395494585,50.771241543215616,0.9492,6.826153089589271,32.160733413517384,22.2151415150115,48.57824711070924,0.9506,8.10581339070448
