subject,sequence,frame_id,method,absolute_median_mm,absolute_mean_mm,absolute_p90_mm,absolute_p95_mm,absolute_coverage_50mm,aligned_median_mm
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0037.000,O2,8.824553974375004,34.74697497760928,31.798387185766888,51.56582146430759,0.9466,8.743591918231731
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0037.000,O3,11.496344112142275,33.869689547769426,37.04847505293672,56.489382135999065,0.937,9.896819026829657
Sub04,Date03_Sub04_backpack_back,Sub04/Date03_Sub04_backpack_back/t0037.000,O4,8.927799196282383,34.25959932537046,30.93575074355452,48.218118170529586,0.9538,8.53662907185578
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0015.000,O0,16.94819719067128,26.071893488868657,42.43444508754914,52.968073342969134,0.9396,9.83417933833023
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0015.000,O1,13.245366427990353,21.571057072192996,33.364865174295595,38.988893699480435,0.974,8.817273741205806
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0015.000,O2,9.928866685909316,17.91512869090588,28.30677541307134,33.13994878731817,0.9896,8.344236311799886
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0015.000,O3,12.695919497166045,20.301473260307777,33.35526093559256,37.5866937104078,0.9788,10.226149821943466
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0015.000,O4,9.601022663407564,18.1180832780944,28.725299126916067,33.25749365461386,0.9896,8.222258448719177
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O0,16.109022499502647,39.615132138730715,80.86513401643585,109.71678380486833,0.8254,13.213359972260768
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O1,14.242060098348066,32.132507258238995,67.8265138056993,95.65634254266473,0.8664,14.728235985321199
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O2,16.880746837567695,35.28418146076299,78.83303859250336,96.77243276002062,0.8018,17.84063167824949
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O3,16.77938794572428,35.200105367567275,74.66443648193753,102.96916502786767,0.8294,16.165785473969507
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0027.000,O4,17.314411376630616,35.81143639647281,80.40885111288317,99.05214990466797,0.7984,18.013518957889737
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0038.000,O0,32.89289389052219,41.52948181022853,71.61180759480496,81.04020602716446,0.6768,12.400785003880912
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0038.000,O1,12.892487810644333,27.525938130404953,35.02751335881008,47.39414077395868,0.9586,11.869925964384187
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0038.000,O2,11.386948841367332,22.244781310311666,31.230295377092276,40.8593512796553,0.9738,10.016394724478094
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0038.000,O3,11.795462930356472,26.035714765350967,33.873061006856716,47.650990944307765,0.958,11.918720463458808
Sub04,Date03_Sub04_stool_sit,Sub04/Date03_Sub04_stool_sit/t0038.000,O4,10.922652921052004,22.161608697864704,30.49687230639875,40.689105019847474,0.9734,9.819602263204029
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0010.000,O0,44.22409106732262,56.28398261236005,90.38054640187536,101.06761589338615,0.5572,11.137460615925225
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0010.000,O1,11.462372703083805,26.519786639951477,32.40338156654982,41.77189796793381,0.9626,8.971582616508023
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0010.000,O2,7.3554742738226855,24.217979091275822,22.974346395494585,41.24767430243962,0.9646,6.826153089589271
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0010.000,O3,10.24878432225114,25.548874912968238,29.962112493375436,42.28374728794863,0.961,8.576834222192897
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0010.000,O4,7.480118755527732,23.599098780588307,23.349724830920746,42.80852126734609,0.9626,6.7084007630525395
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0022.000,O0,33.424803559669925,52.8650536213009,87.42636882708803,105.26862779834268,0.6648,22.112470393802134
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0022.000,O1,10.874715604458377,29.080573107734068,36.01380042251044,52.842218092437825,0.943,8.971659199073553
Sub04,Date03_Sub04_yogaball_play,Sub04/Date03_Sub04_yogaball_play/t0022.000,O2,7.852571767021558,27.230484299356498,31.874321465450173,60.97589863748118,0.9288,7.448487376534752
